Hilos,1 Bloques,2 Bloques,4 Bloques,8 Bloques,16 Bloques,32 Bloques
1,0.0708926,0.0414692,0.029386000000000002,0.023580800000000002,0.020689999999999997,0.0190932
2,0.0439576,0.029677,0.024042,0.020743,0.021994,0.0230484
4,0.0350328,0.0262264,0.0223388,0.020301800000000002,0.0192854,0.0203352
8,0.027144799999999997,0.0230852,0.021684600000000002,0.022563800000000002,0.0225428,0.0222766
16,0.026008999999999997,0.023915000000000002,0.0226846,0.0227056,0.022051,0.021965000000000002
32,0.024551399999999998,0.0233262,0.022883399999999998,0.0224078,0.0223814,0.0223644
64,0.0236144,0.0231348,0.0227976,0.0223764,0.0222428,0.0223088
128,0.0223404,0.020935799999999997,0.0210232,0.020230199999999997,0.0201552,0.020385599999999997
